Title,URL,Authors,Companies,Issues,Sectors,Regions,Countries,Gender,Lawsuit Status
Rio Tinto lawsuit (re Papua New Guinea),/bhrrc/latest-news/rio-tinto-lawsuit-re-papua-new-guinea-2/,Business & Human Rights Resource Centre,Rio Tinto,Alien Tort Claims Act (USA)|Environment: General|Health: General (including workplace health & safety)|Lawsuits & regulatory action: General|Security issues & conflict zones: General,Mining,,PG|US,UNKNOWN,OPEN
Coca-Cola lawsuit (re racial discrimination in USA),/bhrrc/latest-news/coca-cola-lawsuit-re-racial-discrimination-in-usa/,Business & Human Rights Resource Centre,Coca-Cola,Labour: General|Racial/ethnic/caste/origin discrimination,Food & beverage,,US,UNKNOWN,CLOSED
Shell lawsuit (re executions in Nigeria Kiobel v Shell filed in USA),/bhrrc/latest-news/shell-lawsuit-re-nigeria-kiobel-wiwa-2/,,Royal Dutch Shell (Shell),Arbitrary detention|Complicity|Deaths|Human Rights Defenders|Killings|Unfair trial,Oil gas & coal,,NG|US,UNKNOWN,CLOSED
BP lawsuit (re Alaska),/bhrrc/latest-news/bp-lawsuit-re-alaska-2/,Business & Human Rights Resource Centre,BP,Environment: General|Indigenous peoples|Lawsuits & regulatory action: General,Oil gas & coal,,US,UNKNOWN,OPEN
Chevron lawsuit (re Nigeria),/bhrrc/latest-news/chevron-lawsuit-re-nigeria/,Business & Human Rights Resource Centre,Chevron,Beatings & violence|Deaths|Environment: General|Killings|Land rights,Oil gas & coal,,NG|US,UNKNOWN,CLOSED
ExxonMobil lawsuit (re Aceh),/bhrrc/latest-news/exxonmobil-lawsuit-re-aceh-2/,Business & Human Rights Resource Centre,ExxonMobil,,,,,UNKNOWN,OPEN
Coca-Cola lawsuit (re Colombia),/bhrrc/latest-news/coca-cola-lawsuit-re-colombia/,François-Xavier Bagnoud Center for Health and Human Rights [Harvard School of Public Health],Coca-Cola,Beatings & violence|Deaths|Labour: General|Torture & ill-treatment,Food & beverage,,CO|US,UNKNOWN,OPEN
Cambior lawsuit (re Omai Gold mine filed in Guyana),/bhrrc/latest-news/cambior-lawsuit-re-guyana/,Business & Human Rights Resource Centre,Cambior,Access to water|Environment: General|Health: General (including workplace health & safety),Mining,,GY,UNKNOWN,CLOSED
Slavery reparations lawsuit (re USA),/bhrrc/latest-news/slavery-reparations-lawsuit-re-usa-2/,Business & Human Rights Resource Centre,,Companies & historical slavery|Forced labour & modern slavery|Racial/ethnic/caste/origin discrimination,Clothing & textile|Finance & banking|Insurance|Railroad|Tobacco,,US,UNKNOWN,CLOSED
BHP lawsuit (re Papua New Guinea),/bhrrc/latest-news/bhp-lawsuit-re-papua-new-guinea-2/,Business & Human Rights Resource Centre,BHP|Ok Tedi Mining,Environment: General|Indigenous peoples|Lawsuits & regulatory action: General,Mining,,AU|PG,UNKNOWN,OPEN
